time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0.385,0,-0,-0.0055874404964781,-0.0528887305281616,-0.0623880633121907,-0.283383021402569,0.587205693756753
0.39,0,-0,-0.00576731153845325,-0.0539182363837818,-0.0638099642472736,-0.284872148857055,0.587420475996024
0.395,0,-0,-0.00594990464851054,-0.0549444710049661,-0.0652390599981554,-0.28628597740271,0.587636804329265
0.4,0,-0,-0.00613518691473867,-0.0559671803149212,-0.0666749745835227,-0.287624661632165,0.587854568581828
0.405,0,-0,-0.00632312423213823,-0.0569861136424731,-0.0681173328353311,-0.288888371340236,0.588073659058034
0.41,0,-0,-0.00651368133327563,-0.0580010237606857,-0.0695657605619733,-0.290077311395381,0.588293967068087
0.415,0,-0,-0.00670682181860448,-0.0590116666219093,-0.0710198846199976,-0.291191697022109,0.588515384432942
0.42,0,-0,-0.00690250818710262,-0.0600178014221761,-0.0724793330781304,-0.292231781006105,0.588737804067133
0.425,0,-0,-0.00710070186657147,-0.0610191903753431,-0.0739437352922603,-0.293197826255693,0.588961119575311
0.43,0,-0,-0.00730136324410934,-0.0620155987877459,-0.075412722048338,-0.294090127209122,0.589185225707558
0.435,0,-0,-0.0075044516962765,-0.0630067948524571,-0.0768859256316792,-0.294908989563836,0.58941001796164
0.44,0,-0,-0.0077099256194098,-0.0639925497404903,-0.0783629799678094,-0.295654749413878,0.589635393058729
0.445,0,-0,-0.00791774245961227,-0.064972637418467,-0.0798435206872145,-0.296327753282617,0.589861248560496
0.45,0,-0,-0.00812785874285301,-0.0659468347530188,-0.0813271852586106,-0.296928376292289,0.590087483318836
0.455,0,-0,-0.00834023010473574,-0.0669149213482273,-0.0828136130495197,-0.297457003572153,0.590313997105536
0.46,0,-0,-0.0085548113203587,-0.0678766796639582,-0.0843024454554213,-0.297914047877715,0.590540691061098
0.465,0,-0,-0.00877155633381105,-0.0688318948690248,-0.0857933259536672,-0.298299930433322,0.590767467313032
0.47,0,-0,-0.00899041828775566,-0.0697803549702874,-0.0872859002286089,-0.298615099677155,0.590994229420287
0.475,0,-0,-0.00921134955262906,-0.0707218506816868,-0.0887798162215804,-0.298860011496451,0.591220881999808
