time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
1.08,0.541900800000001,-0.0333204654128096,-0.0354801503268495,-0.104905229699243,-0.206620755649858,-0.0331572621629841,0.603198529508836
1.085,0.5972763,-0.036724460629913,-0.0356206329755542,-0.104781928094416,-0.206775700664992,-0.0298998526074359,0.6031830808948
1.09,0.653572800000001,-0.0401851028241988,-0.0357640829453989,-0.104686054131146,-0.206914194164794,-0.0265928909735953,0.603170540000119
1.095,0.7105563,-0.0436880675745017,-0.0359109627677354,-0.104620121852272,-0.207035986776146,-0.02323588137859,0.603161132912145
1.1,0.768000000000001,-0.0472194795117657,-0.0360617328922335,-0.104586557697157,-0.207140827315399,-0.0198285296091252,0.603155070326069
1.105,0.8256843,-0.0507659113235604,-0.0362168496108063,-0.10458768971217,-0.207228463654363,-0.016370699957042,0.60315254884237
1.11,0.883396800000001,-0.0543143826911558,-0.0363767630824707,-0.104625738198265,-0.207298643384321,-0.0128623765551486,0.603153751745804
1.115,0.9409323,-0.0578523591571567,-0.036541915456768,-0.104702807507894,-0.207351114313296,-0.00930363294917572,0.60315884929416
1.12,0.998092800000001,-0.0613677509358973,-0.0367127390936191,-0.104820878809098,-0.207385624841509,-0.00569461059481764,0.60316799868825
1.125,1.0546875,-0.064848911666433,-0.0368896548775186,-0.104981803680581,-0.207401924228092,-0.00203549747769806,0.603181343713382
1.13,1.1105328,-0.0682846371522022,-0.0370730706243956,-0.105187298503078,-0.207399762808678,0.00167347689974863,0.603199014439828
1.135,1.1654523,-0.0716641640863168,-0.0372633795792326,-0.105438939584369,-0.207378892147137,0.0054320576623267,0.603221126842144
1.14,1.2192768,-0.0749771687857642,-0.0374609590027827,-0.105738158989247,-0.207339065140917,0.00923997175021485,0.603247782446402
1.145,1.2718443,-0.0782137659418455,-0.037666168845683,-0.106086241019079,-0.207280036075146,0.0130969380719066,0.603279067956278
1.15,1.323,-0.0813645074121738,-0.0378793505083828,-0.106484319321767,-0.207201560644018,0.0170026743568277,0.603315054961016
1.155,1.3725963,-0.0844203810509667,-0.0381008256852916,-0.106933374563711,-0.207103395923143,0.0209569057544202,0.603355799596708
1.16,1.4204928,-0.0873728096110733,-0.0383308952916714,-0.107434232658473,-0.206985300320709,0.0249593702386195,0.603401342326149
1.165,1.4665563,-0.0902136496874911,-0.0385698384717041,-0.107987563446317,-0.206847033469944,0.0290098292685366,0.603451707537097
1.17,1.5106608,-0.0929351907731127,-0.0388179116865019,-0.108593879863037,-0.206688356126867,0.0331080661114458,0.603506903392367
1.175,1.5526875,-0.0955301543598542,-0.039075347880494,-0.109253537455832,-0.206509030004018,0.0372538995609746,0.603566921399296
1.18,1.5925248,-0.0979916931909038,-0.0393423557251917,-0.109966734333767,-0.20630881763341,0.0414471758189504,0.603631736348951
1.185,1.6300683,-0.100313390558238,-0.0396191189387762,-0.110733511369192,-0.206087482159352,0.0456877848319819,0.603701305875536
1.19,1.6652208,-0.102489259790175,-0.0399057956807358,-0.111553752791679,-0.205844787184454,0.049975646295561,0.603775570507898
