time_s,x_base_m,dx_base_mps,ax_base_mps2,fx_desired_N,fx_qp_feasible_N,fx_qp_slack_N,fx_qp_contact_N,fx_actual_from_base_N
0.865,-0.186034811976209,-0.159093463816335,0.58731642405454,91.9719100860905,91.9327630829969,-0.0391470030935852,-21.3056733694143,1.75271981093467
0.87,-0.186820493151507,-0.156153767808744,0.588478278930282,91.6668818246689,91.6279059832956,-0.0389758413732834,-21.2136675802859,1.75628411612303
0.875,-0.187591457613992,-0.153208681027032,0.589473579045851,91.3559593458317,91.3171547910322,-0.0388045547994441,-21.1210439113464,1.75935108849496
0.88,-0.188347681171216,-0.150259032018286,0.590303738655012,91.0392937489818,91.0006605644597,-0.0386331845220842,-21.0278354661858,1.76192510359939
0.885,-0.189089143754743,-0.147305643640482,0.590970193376269,90.717036402833,90.6785746326794,-0.0384617701536377,-20.9340773735897,1.76401066841888
0.89,-0.189815829381609,-0.144349330084523,0.591474610259073,90.3893383608932,90.3510480104072,-0.0382903504860065,-20.8398035933285,1.76561242713326
0.895,-0.190527726113187,-0.141390897537891,0.59181865136906,90.0563504753076,90.0182315127705,-0.0381189625370648,-20.7450480901434,1.76673513255566
0.9,-0.191224826013125,-0.138431143570832,0.592003920747238,89.7182232651145,89.6802756207022,-0.0379476444122858,-20.6498434228192,1.76738367127937
0.905,-0.191907125108331,-0.135470858330419,0.592032068779446,89.3751071326334,89.3373306995908,-0.0377764330426621,-20.5542230604288,1.76756306371431
0.91,-0.19257462334628,-0.132510822883038,0.59190488438309,89.0271520311117,88.989546672497,-0.0376053586147618,-20.4582196573786,1.76727842371213
0.915,-0.193227324550445,-0.129551809486588,0.591624134589174,88.6745075022744,88.637073027504,-0.0374344747703503,-20.3618654357942,1.7665349751133
0.92,-0.193865236376204,-0.126594581537146,0.591191616473055,88.3173226515248,88.2800588520944,-0.0372637994303857,-20.2651923388195,1.7653380480902
0.925,-0.194488370265559,-0.123639893321857,0.590609166688468,87.9557460855465,87.9186527136185,-0.0370933719279339,-20.168231976877,1.76369307722571
0.93,-0.195096741401272,-0.120688489870261,0.589878665449801,87.5899258686137,87.5530026420598,-0.0369232265538737,-20.0710155709871,1.76160557606432
0.935,-0.195690368659386,-0.117741106667359,0.589001993877269,87.2200094518209,87.1832560549588,-0.0367533968620947,-19.9735738053457,1.75908116125605
0.94,-0.196269274562735,-0.114798469931489,0.587981077470037,86.8461437110886,86.8095597953275,-0.0365839157611868,-19.8759372618579,1.75612554936047
0.945,-0.196833485231837,-0.111861295892659,0.586817878794028,86.4684747923818,86.4320599766581,-0.036414815723653,-19.778135963756,1.752744515065
0.95,-0.197383030336531,-0.108930291143548,0.585514401506847,86.0871481631375,86.0509020351838,-0.0362461279536856,-19.680199778826,1.74894392919737
0.955,-0.197917943044751,-0.10600615187759,0.584072631813739,85.7023084490565,85.6662305637391,-0.0360778853173826,-19.5821576661235,1.74472972988808
0.96,-0.198438259974253,-0.103089564825411,0.582494583804865,85.3140995979688,85.2781894808429,-0.0359101171259,-19.4840387553754,1.74010790948053
0.965,-0.198944021140579,-0.100181206039542,0.580782325725946,84.9226646293082,84.8869217751167,-0.0357428541914507,-19.3858715150126,1.73508453864815
0.97,-0.199435269906623,-0.0972817415681515,0.578937934892871,84.5281457468195,84.4925696204671,-0.0355761263524421,-19.2876841239662,1.7296657481568
0.975,-0.199912052929266,-0.0943918266906131,0.57696348287885,84.130684174165,84.0952742111332,-0.0354099630318173,-19.1895041332993,1.72385772523386
0.98,-0.20037442010917,-0.091512106739363,0.57486107091608,83.7304202961476,83.6951759028274,-0.0352443933202322,-19.0913590015523,1.71766670865616
0.985,-0.200822424536326,-0.0886432159814523,0.572632834997119,83.3274934259836,83.2924139806251,-0.0350794453585255,-18.9932756690947,1.71109898090921
0.99,-0.201256122438342,-0.0857857783893918,0.570280910107226,82.9220419362347,82.8871267888456,-0.0349151473890957,-18.8952806111501,1.70416087196772
